11;10.5,10;7.5,8;8,10;7.5,11;10.5,8;8,8;8,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,10;7.5,8;8,8;8,11;10.5,8;8,
11;10.5,10;7.5,8;8,10;7.5,11;10.5,8;8,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,10;7.5,8;8,8;8,11;10.5,8;8,8;8,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,10;7.5,8;8,8;8,11;10.5,8;8,8;8,11;10.5,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,8;8,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,8;8,8;8,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,8;8,8;8,10;7.5,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,8;8,10;7.5,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,8;8,8;8,10;7.5,8;8,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,10;7.5,10;7.5,8;8,8;8,8;8,8;8,11;10.5,11;10.5,8;8,8;8,10;7.5,8;8,8;8,
11;10.5,10;7.5,8;8,10;7.5,8;8,8;8,8;8,10;7.5,10;7.5,8;8,8;8,8;8,11;10.5,11;10.5,8;8,8;8,10;7.5,8;8,8;8,8;8,
